name,speicher,leistung,lat,long
Öhringen,"SENEC Home V2.1 - 5,0 kWh","5.25",49.20671549999999,9.520057200000002
Wolferstadt,"SENEC Home V2.1 - 7,5 kWh","7.125",48.90664719999999,10.7765397
Altenmünster,"SENEC Home V2.1 - 5,0 kWh","7.5",48.4638933,10.5886399

