name;speicher;leistung;lat;long
Pentling;SENEC Home V2.1 - 5.0 kWh;6;48.961639;12.0633115
Großbottwar;SENEC Home V2.1 - 5.0 kWh;5.625;49.0009091;9.2966725
Dorfen;SENEC Home V2.1 - 5.0 kWh;5.25;48.2941802;12.1726993
Griesstätt;SENEC Home V3 hybrid dou - 7.5 kWh;11.25;47.9934054;12.179205
Urbach;SENEC Home V2.1 - 5.0 kWh;4.5;48.8141887;9.5802909
Theisseil;SENEC Home V2.1 - 7.5 kWh;9;49.6901649;12.2269623
Großkarolinenfeld;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;47.8927777;12.0657836
Herolstatt;SENEC Home V3 hybrid -5.0 kWh;6.375;48.4464496;9.668558899999999
Neckartenzlingen;SENEC Home V2.1 - 10 kWh;14.25;48.5845245;9.2414082
Tuntenhausen;SENEC Home V3 hybrid dou - 5.0 kWh;6.75;47.9392057;12.0064334
Grafenberg;SENEC Home V3 hybrid dou - 7.5 kWh;9;48.566933;9.3027667
Offenburg;SENEC Home V3 hybrid dou - 5.0 kWh;10.125;48.4717525;7.9214075
Lorch;RCT POWER BATTERY DC 9.6;10.5;48.79648599999999;10.0311214
Höchstadt;SENEC Home V2.1 - 5.0 kWh;5.25;49.7095692;10.8128359
Lauf/Simonshofen;SENEC Home V2.1 - 2.5 kWh;6;49.5504562;11.2661915
Rudersberg;SENEC Home V2.1 - 10 kWh;40.5;48.88474979999999;9.5303744
Böblingen;RCT POWER BATTERY DC 5.7;6;48.6802429;9.055195
Großhabersdorf;SENEC Home V3 hybrid dou - 7.5 kWh;9;49.4040529;10.7882216
Raubling;SENEC Home V3 hybrid dou - 7.5 kWh;11.625;47.7915891;12.075049
Erding;SENEC Home V3 hybrid dou - 7.5 kWh;8.25;48.31025289999999;11.925775
Gunzenhausen;SENEC Home V2.1 - 5.0 kWh;6;49.1200802;10.7318864
Wüstenrot;SENEC Home V2.1 - 5.0 kWh;5.25;49.0805879;9.460584500000001
Wegscheid;SENEC Home V2.1 - 7.5 kWh;7.5;48.6005902;13.7859017
Germering;SENEC Home V3 hybrid dou - 10 kWh;28.125;48.13169389999999;11.3556855
Sonnenbühl;SENEC Home V2.1 - 7.5 kWh;8.25;48.3816954;9.1941993
Tacherting;SENEC Home V3 hybrid dou - 10 kWh;9.75;48.08740830000001;12.4966963
Weyarn;SENEC Home V2.1 - 5.0 kWh;5.625;47.8536282;11.818675
Wildberg;SENEC Home V2.1 - 5.0 kWh;6.75;48.63690940000001;8.7676952
Steinheim;SENEC Home V3 hybrid -5.0 kWh;6;48.9691889;9.276239700000001
Rimbach;SENEC Home V2.1 - 10 kWh;11.25;49.21891549999999;12.7624236
Inning;SENEC Home V2.1 - 5.0 kWh;5.25;48.3473562;12.0749164
Adelsheim;SENEC Home V2.1 - 5.0 kWh;9;49.3806923;9.3950868
Wolfratshausen;SENEC Home V3 hybrid dou - 10 kWh;12;47.9139845;11.4245772
Freilassing;SENEC Home V3 hybrid dou - 10 kWh;23.625;47.8480123;12.9707896
Neutraubling;SENEC Home V3 hybrid -5.0 kWh;6;48.9868682;12.2107043
Großkarolinenfeld;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;47.8927777;12.0657836
Schorndorf;10.2 kWh Fenecon Pro Hybrid 10;11.625;48.778341;9.531029499999999
Dinkelsbühl;SENEC Home V3 hybrid -10 kWh;15.75;49.0765217;10.3166484
Lenningen;SENEC Home V3 hybrid dou - 7.5 kWh;10.125;48.5552959;9.468307300000001
Kohlberg;RCT POWER BATTERY DC 7.6;12.75;48.56153;9.343196599999999
Schwabach;SENEC Home V3 hybrid -7.5 kWh;8.25;49.3288905;11.0244827
Burk;SENEC Home V3 hybrid -5.0 kWh;9.75;49.1333391;10.478917
Mengkofen;SENEC Home V3 hybrid -5.0 kWh;6.75;48.7203181;12.4410484
Prutting;SENEC Home V3 hybrid dou - 10 kWh;10.5;47.88473930000001;12.1879056
Donzdorf;SENEC Home V3 hybrid -5.0 kWh;6;48.6845738;9.8067932
Schwäbisch Gmund;SENEC Home V3 hybrid dou - 7.5 kWh;6.75;48.8321222;9.8173747
Bitz;RCT POWER BATTERY DC 11.5;17.25;48.2441316;9.0926542
Schönaich;RCT POWER BATTERY DC 5.7;5.625;48.6595376;9.061313
Calw;SENEC Home V3 hybrid dou - 10 kWh;18;48.7215745;8.7177385
Pliezhausen;SENEC Home V3 hybrid -2.5 kWh;4.5;48.5618552;9.2020103
Lichtenstein;SENEC Home V3 hybrid -5.0 kWh;6;48.41692339999999;9.2565695
Wiesenfelden;SENEC Home V3 hybrid -2.5 kWh;3.75;49.03795299999999;12.5419996
Wüstenrot;SENEC Home V3 hybrid -5.0 kWh;7.5;49.0805879;9.460584500000001
Aschau;SENEC Home V3 hybrid dou - 7.5 kWh;10.5;47.7805396;12.3243816
Forchheim;SENEC Home V3 hybrid dou - 7.5 kWh;12;49.7248791;11.0758372
Inzell;SENEC Home V3 hybrid dou - 7.5 kWh;10.5;47.7740484;12.7829992
Nördlingen;SENEC Home V3 hybrid -2.5 kWh;4.5;48.8561015;10.4992165
Aalen;SENEC Home V3 hybrid -5.0 kWh;6;48.870622;10.0233878
Feuchtwangen;SENEC Home V3 hybrid -5.0 kWh;4.5;49.1666761;10.3365884
Stuttgart;SENEC Home V3 hybrid -5.0 kWh;5.25;48.7226206;9.1584836
Waldkirchen;SENEC Home V3 hybrid -5.0 kWh;5.625;48.7291338;13.6009117
Losburg;SENEC Home V3 hybrid -5.0 kWh;6;48.3975208;8.4676042
Sindelsdorf;SENEC Home V3 hybrid dou - 10 kWh;9.75;47.7232835;11.3324576
Wurmsham;SENEC Home V3 hybrid -2.5 kWh;3.75;48.3535019;12.3260944
Aurach;SENEC Home V3 hybrid -7.5 kWh;12;49.2464705;10.4153966
Traunreuth;SENEC Home V3 hybrid -5.0 kWh;6;47.9527301;12.5768605
Hahnbach;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;49.526685;11.8185218
Wasserburg;SENEC Home V3 hybrid dou - 10 kWh;11.625;48.0547345;12.1954235
Neuendettelsau;SENEC Home V2.1 - 5.0 kWh;7.875;49.298002;10.8002858
Schnaittenbach;SENEC Home V2.1 - 7.5 kWh;7.5;49.543133;11.9989964
Bruckmühl;SENEC Home V2.1 - 5.0 kWh;6.375;47.8760097;11.9399211
Ireuchtlingen;SENEC Home V2.1 - 2.5 kWh;9.75;48.9516022;10.8937048
Sulzbach-Rosenberg;SENEC Home V2.1 - 7.5 kWh;9.75;49.4969642;11.7554254
Nittenau;SENEC Home V2.1 - 10 kWh;9.75;49.1951228;12.2680695
Balingen;SENEC Home V2.1 - 7.5 kWh;9;48.26782679999999;8.8545505
Hiltpoltstein;SENEC Home V3 hybrid dou - 10 kWh;9.75;49.66062429999999;11.3201534
Groberstätt;SENEC Home V3 hybrid -5.0 kWh;5.25;42.7294963;-114.7503405
Stuttgart;SENEC Home V2.1 - 7.5 kWh;7.5;48.84112649999999;9.197113
Heuchling;SENEC Home V2.1 - 7.5 kWh;6.75;49.5195207;11.2891148
Sindelfingen;SENEC Home V3 hybrid dou - 5.0 kWh;9;48.70781059999999;8.9618345
Halfing;SENEC Home V3 hybrid -5.0 kWh;7.5;47.9505034;12.2762256
